OMXH Shortlist – full table : generated 2025-11-17 16:00 UTC

LEGEND / HOW TO READ
- Edge v6 = all formulas (blended).
- Edge v4 = base formulas.
- Edge (NoVol) = without volume factors.
- Prob Up (Anchor) = anchor model probability.
- P(Up) Mkv1 / Mkv2 = Markov 1st and 2nd order probabilities.
- R²(40d) = log-trend R² (1 = clean trend, 0 = random).
- Hurst (>0.5) = trending tendency.
- IBS = intraday bar position of close (smaller is better).
- RSI2 = short-term RSI (smaller is better).
- Overhead (≤+1 ATR) = number of prior swing-highs within +1 ATR overhead (smaller is better).
- Weekly Bull = weekly EMA(10) > EMA(20).
- M-FibBonus / KeyLvlBonus = extra score from nearby Fib/key levels.
- RVOL20 = relative 20-day volume.
- ATR% = ATR / Close.

TRADING PLAN (compact)
1) Buy only if Weekly Bull = True and Edge v6 ≥ 30.
2) Prefer setups with RSI2 ≤ 20 and IBS ≤ 0.40 (dips in uptrend).
3) Require Overhead ≤ 2, ATR% 1–4%, RVOL20 ≥ 0.9.
4) Bonus if near M-Fib/KeyLvl (≤0.35 ATR) and NR7+Inside setup.
5) Sell/trim when RSI2 ≥ 90 or R² breaks down and Hurst < 0.45.

=== Ranked (v6 blended score (default)) ===  (wrapped ≤1000000 chars)
Ticker | Edge v6 | Edge v4 | Edge (NoVol) | Prob Up (Anchor) | P(Up) Mkv1 | P(Up) Mkv2 | Analogs | Weekly Bull | IBS   | R²(40d) | RSI2  | Hurst | PermEnt | DomCycle | M-Fib | M-FibBonus | KeyLvlBonus | KeyHits                                 | FibRet   | FibScore | Overhead (≤+1 ATR) | Close   | ATR%  | RVOL20 | ADV20 €       
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CB     |   44.19 |   31.40 |        32.00 |            68.0% |      54.2% |      52.5% |      23 |        True | 0.248 |   0.154 |  72.7 | 1.009 |   0.943 |        5 | 0.786 |        4.9 |         3.8 |      PivotClose:295.4900;Round:295.0000 |    0.000 |      0.0 |                  0 |  295.49 |  1.6% |   0.71 |    551,259,492
HVT    |   42.67 |   35.00 |        35.00 |            80.0% |      52.6% |      53.7% |      13 |        True | 0.296 |   0.026 |  29.1 | 1.016 |   0.954 |        5 | 0.786 |        1.4 |         4.2 |    PivotClose:22.5600;PivotHigh:22.6400 |    0.000 |      0.0 |                  4 |   22.56 |  3.5% |   1.02 |      2,623,186
VSAT   |   41.06 |   32.86 |        10.00 |            78.6% |      49.9% |      49.4% |      12 |        True | 0.721 |   0.676 |  32.5 | 1.003 |   0.931 |        5 | 0.786 |        4.7 |         4.2 |         PivotHigh:36.1100;Round:36.0000 |    0.233 |      5.0 |                  3 |   36.06 |  7.9% |   0.59 |     85,955,516
COR    |   40.57 |   32.00 |        30.00 |            62.5% |      53.8% |      52.4% |      14 |        True | 0.072 |   0.942 |  28.0 | 1.004 |   0.934 |        5 |   nan |        0.0 |         4.5 |      PivotClose:361.9400;Round:362.0000 |    0.000 |      0.0 |                  1 |  361.94 |  2.2% |   1.35 |    502,535,707
BWA    |   39.40 |   31.29 |        20.64 |            67.9% |      51.3% |      52.2% |      26 |        True | 0.138 |   0.189 |  14.8 | 1.007 |   0.927 |        5 |   nan |        0.0 |         4.2 |     PivotClose:44.8000;PivotLow:44.7100 |    0.000 |      0.0 |                  1 |   44.80 |  2.2% |   0.87 |    101,754,832
OMCL   |   39.37 |   28.41 |        18.35 |            65.5% |      52.0% |      51.6% |      27 |        True | 0.391 |   0.543 |   9.7 | 1.011 |   0.944 |        5 | 0.500 |        4.3 |         1.4 |                           Round:35.0000 |    1.475 |      0.0 |                  1 |   35.12 |  3.7% |   0.65 |     14,984,562
EIX    |   39.09 |   30.78 |        13.00 |            72.2% |      52.6% |      53.2% |      16 |        True | 0.239 |   0.396 |  56.9 | 1.018 |   0.940 |        5 |   nan |        0.0 |         4.2 |    PivotClose:58.7100;PivotHigh:58.8100 |    0.000 |      0.0 |                  3 |   58.71 |  1.9% |   0.69 |    160,518,318
GILD   |   37.65 |   30.14 |         8.35 |            71.4% |      52.7% |      52.4% |      12 |        True | 0.803 |   0.711 |  82.0 | 1.004 |   0.937 |        5 |   nan |        0.0 |         3.5 |       Round:125.0000;PivotHigh:124.6100 |    1.309 |      0.0 |                  1 |  125.02 |  2.9% |   0.96 |    833,013,655
NWN    |   37.40 |   29.33 |        29.33 |            66.7% |      51.9% |      51.2% |      16 |        True | 0.637 |   0.762 |  49.6 | 0.992 |   0.942 |        5 |   nan |        0.0 |         4.3 |        PivotClose:47.9800;Round:48.0000 |    0.000 |      0.0 |                  1 |   47.98 |  1.9% |   1.01 |     12,242,488
